lead_id,email,company_name,industry,job_title,seniority_level,company_size,country,email_opens,email_clicks,website_visits,time_on_site,pages_viewed,content_downloads,form_submissions,event_attendance,demo_requests,pricing_page_views,feature_page_views,days_since_first_interaction,total_interactions,last_interaction_days,converted
LEAD_18,jennifer03@example.net,Higgins-Garcia,Finance,"Editor, commissioning",Mid,201-1000,India,14,6,36,319,8,3,2,0,1,4,1,12,7,28,0
LEAD_19,elizabeth35@example.net,Williams-Cameron,Technology,Insurance underwriter,Senior,51-200,Canada,7,9,16,431,7,4,2,0,1,3,9,103,29,12,0
LEAD_20,ikennedy@example.com,Conway Inc,Education,Health and safety adviser,Mid,201-1000,Canada,5,5,28,663,13,4,2,1,0,4,3,13,35,11,0
LEAD_21,fergusonrachel@example.net,Wilson Inc,Retail,Psychiatrist,Executive,51-200,India,13,0,7,185,16,1,2,0,1,2,6,12,57,29,0
LEAD_22,joshuaavila@example.com,Miller-Martin,Education,Records manager,Senior,1000+,Canada,6,6,17,182,8,4,2,0,1,4,9,51,57,6,0
LEAD_23,mcintoshjulie@example.net,Harrell Inc,Education,Records manager,Mid,11-50,India,12,4,35,777,7,3,0,1,0,2,6,112,35,12,0
LEAD_24,emily68@example.com,"Casey, Maynard and Miller",Education,Technical sales engineer,Entry,1000+,Canada,1,8,24,327,12,1,0,1,1,2,5,94,54,14,1
LEAD_25,imiller@example.com,Ellis PLC,Retail,Financial planner,Executive,11-50,USA,18,1,30,377,19,0,2,0,0,1,9,75,47,4,0
LEAD_26,susan27@example.com,Horton-Wright,Technology,Psychiatrist,Entry,1-10,USA,14,6,31,332,9,1,0,0,0,0,3,15,15,28,0
LEAD_27,marc59@example.net,"Mclaughlin, Dixon and Henderson",Healthcare,Network engineer,Executive,201-1000,Canada,7,6,14,410,12,1,2,0,1,1,6,33,28,26,1
LEAD_28,jefferyvillanueva@example.org,Berg Group,Technology,"Librarian, academic",Executive,201-1000,USA,4,6,33,59,11,4,0,0,1,3,1,21,18,21,0
LEAD_29,hgarcia@example.net,Patterson PLC,Finance,Advertising account planner,Entry,1000+,India,0,1,38,630,1,0,1,1,0,2,2,88,35,14,0
LEAD_30,joseph92@example.com,Manning and Sons,Retail,Dealer,Mid,1-10,India,15,6,16,460,3,4,2,1,1,4,3,14,41,9,0
LEAD_31,leedaniel@example.org,"Bean, Moreno and Guerra",Technology,"Surveyor, mining",Entry,201-1000,UK,17,6,1,612,15,2,2,0,0,4,5,30,50,29,0
LEAD_32,phillipshannah@example.net,"Stafford, Martinez and Monroe",Retail,Armed forces logistics/support/administrative officer,Entry,1000+,India,9,5,9,456,5,1,0,1,1,1,0,82,32,6,0
LEAD_33,michael91@example.org,Silva-Love,Education,Emergency planning/management officer,Senior,11-50,Canada,13,4,24,142,18,1,2,1,1,1,8,81,40,8,0
LEAD_34,fshepard@example.org,Jackson-Hayes,Education,"Engineer, building services",Executive,51-200,Germany,0,7,14,669,6,0,0,0,0,1,3,37,27,26,0
LEAD_35,kavery@example.com,Martinez Group,Retail,Broadcast engineer,Entry,51-200,USA,18,6,25,568,15,2,0,0,1,4,2,3,53,21,0
LEAD_36,sarah35@example.org,Johnson-Browning,Healthcare,Geographical information systems officer,Mid,51-200,UK,2,9,18,483,16,3,2,1,0,1,4,81,30,3,0
LEAD_37,znorris@example.com,Anderson-Sampson,Education,Neurosurgeon,Executive,11-50,Canada,19,1,37,304,17,0,0,0,0,2,2,109,50,15,0
LEAD_38,tinawong@example.org,"Cole, Wilson and Mendez",Education,Personnel officer,Senior,51-200,Canada,15,9,12,333,17,4,0,0,1,3,0,100,18,2,0
LEAD_39,whiteryan@example.org,"White, White and Carroll",Finance,Health promotion specialist,Executive,1-10,USA,2,6,6,727,9,4,0,1,0,3,2,6,59,13,0
LEAD_40,lambjose@example.org,"Chung, Ingram and Lyons",Retail,Futures trader,Entry,11-50,USA,6,6,15,320,10,3,2,0,1,0,6,98,11,5,0
LEAD_41,stephanieramirez@example.org,Ferguson-Hatfield,Finance,Contractor,Senior,11-50,USA,11,6,27,318,1,0,0,1,0,4,6,54,7,20,0
LEAD_42,brookegonzales@example.org,Fuentes and Sons,Education,Pathologist,Mid,201-1000,USA,10,2,2,211,12,0,0,1,1,2,2,21,38,10,0
LEAD_43,johnlawrence@example.org,Huffman LLC,Finance,Transport planner,Mid,1000+,Canada,8,6,20,80,7,3,1,1,0,1,9,46,28,23,0
LEAD_44,fblackburn@example.org,Berry Inc,Finance,Social researcher,Entry,51-200,USA,1,8,23,275,15,3,2,1,0,2,6,66,35,8,0
LEAD_45,amber16@example.net,Mills-Harper,Education,Administrator,Executive,1000+,USA,7,5,7,684,18,4,1,1,0,0,1,93,40,4,0
LEAD_46,katherinestokes@example.org,Waters Inc,Finance,"Therapist, art",Entry,201-1000,UK,18,8,31,65,4,1,2,0,1,4,3,44,22,13,0
LEAD_47,imoreno@example.org,Love-Ramirez,Technology,"Designer, interior/spatial",Mid,1-10,India,3,8,21,591,19,4,1,0,1,1,1,102,36,3,0
LEAD_48,hallen@example.net,Hudson Inc,Technology,Occupational hygienist,Mid,201-1000,Germany,11,0,33,753,12,2,2,1,1,4,1,100,38,19,0
LEAD_49,michaelsmith@example.com,Hall and Sons,Technology,Dramatherapist,Entry,51-200,Germany,8,7,15,387,13,3,0,0,1,4,8,15,24,4,0
LEAD_50,chadvargas@example.com,"Ortiz, Sanchez and Gregory",Education,Pensions consultant,Entry,1-10,Canada,16,3,21,577,8,1,0,1,1,4,4,114,37,10,0
LEAD_51,zacharybrown@example.org,Nguyen Inc,Education,Town planner,Mid,1-10,Canada,13,7,20,444,17,1,2,0,0,3,9,116,21,16,1
LEAD_52,eclark@example.org,Moore-Williams,Retail,"Investment banker, corporate",Entry,51-200,USA,8,7,24,403,2,1,2,0,0,3,5,71,55,29,0
LEAD_53,stanley20@example.org,"Kim, Campbell and Green",Finance,Purchasing manager,Executive,11-50,UK,17,5,26,543,2,0,2,1,0,4,2,106,38,26,0
LEAD_54,xblair@example.net,"Johnson, Bradley and Nguyen",Education,Energy engineer,Senior,1000+,UK,2,2,0,452,4,4,0,1,1,1,9,51,56,26,0
LEAD_55,teresakey@example.net,"Myers, Ross and Williams",Retail,Legal executive,Executive,11-50,Germany,10,9,21,670,4,2,1,1,1,3,9,59,56,9,0
LEAD_56,wangrobert@example.org,"Davis, Rodriguez and Armstrong",Retail,Sports administrator,Senior,51-200,UK,9,7,21,658,12,3,1,1,0,1,1,8,9,29,0
LEAD_57,johnknox@example.net,"Adams, Wilson and King",Retail,Immigration officer,Mid,51-200,India,13,9,25,291,9,3,1,1,0,0,9,55,26,7,0
LEAD_58,weaveraaron@example.net,Davis LLC,Finance,Research scientist (maths),Mid,201-1000,India,15,1,29,213,14,4,0,0,1,0,7,20,49,21,0
LEAD_59,james08@example.com,Bullock LLC,Technology,Equality and diversity officer,Mid,51-200,Canada,10,1,4,666,6,4,1,0,0,2,7,48,19,17,0
LEAD_60,hallen@example.org,Blevins-Jackson,Finance,Armed forces training and education officer,Executive,1-10,USA,5,9,27,795,12,0,2,1,1,4,5,54,5,7,1
LEAD_61,stewartmackenzie@example.org,Bennett-Odonnell,Finance,Child psychotherapist,Executive,1-10,Canada,17,1,9,29,14,4,0,0,1,4,4,93,48,1,0
LEAD_62,dylanhinton@example.com,Oneill LLC,Retail,Technical author,Mid,1000+,India,0,8,27,84,13,3,0,1,1,3,4,32,53,27,0
LEAD_63,calderontiffany@example.com,"Barber, Odonnell and Campbell",Finance,Food technologist,Senior,201-1000,USA,3,6,10,543,15,3,0,0,1,1,9,56,42,16,0
LEAD_64,dylan83@example.net,Phelps PLC,Education,"Engineer, broadcasting (operations)",Executive,201-1000,Canada,1,8,31,146,10,0,0,0,1,3,8,83,44,26,0
LEAD_65,james44@example.org,Garcia-Cummings,Finance,Production manager,Executive,1-10,Germany,14,3,12,716,15,1,1,0,0,1,0,86,47,7,1
LEAD_66,sanchezbrian@example.com,Campos LLC,Finance,Chartered loss adjuster,Executive,1000+,UK,12,0,28,128,1,1,2,0,0,3,2,68,14,15,0
LEAD_67,kdickson@example.net,Stevens Group,Education,Fashion designer,Executive,11-50,USA,1,6,38,52,12,2,0,0,0,0,2,114,15,16,0
LEAD_68,richard75@example.net,"Giles, Baker and Pierce",Technology,Local government officer,Executive,1000+,Germany,2,5,28,395,14,4,0,0,1,0,8,104,53,24,0
LEAD_69,lisaboyer@example.com,Holloway-Lane,Retail,Chief Technology Officer,Mid,1-10,USA,12,3,33,81,10,2,1,0,1,0,9,111,36,10,0
LEAD_70,lrodriguez@example.net,Jordan LLC,Retail,Veterinary surgeon,Executive,201-1000,Germany,16,9,2,439,16,1,0,0,1,3,6,1,38,24,0
LEAD_71,ninastone@example.net,"Malone, Shaffer and Washington",Technology,Radiation protection practitioner,Mid,11-50,Germany,8,2,17,454,14,2,2,1,0,2,3,69,57,19,0
LEAD_72,jason69@example.org,Jackson Group,Education,"Biochemist, clinical",Executive,11-50,USA,12,1,14,389,1,0,1,0,1,1,7,84,56,16,0
LEAD_73,johnwhite@example.net,Franklin PLC,Finance,"Buyer, retail",Executive,51-200,Canada,11,1,35,319,5,2,1,1,1,0,4,110,55,14,0
LEAD_74,sgarcia@example.com,Choi-Garza,Finance,Sport and exercise psychologist,Entry,201-1000,USA,11,4,7,68,9,1,0,1,0,4,6,35,6,15,1
LEAD_75,craig04@example.org,Snyder Ltd,Finance,Geochemist,Executive,1-10,India,0,9,35,154,8,4,2,0,0,2,2,51,22,6,0
LEAD_76,karenmills@example.net,Moore-Webb,Healthcare,Amenity horticulturist,Mid,1000+,USA,5,1,13,647,11,0,1,0,1,2,5,111,48,29,0
LEAD_77,eromero@example.com,"Jones, Short and Murphy",Education,Lobbyist,Entry,11-50,Germany,15,7,10,503,1,0,1,0,1,3,8,6,41,8,0
LEAD_78,robert87@example.net,Foster-Gentry,Finance,"Merchandiser, retail",Executive,1000+,UK,12,8,15,645,4,4,2,0,0,1,1,46,25,14,0
LEAD_79,jenkinsmichael@example.org,Howard Ltd,Technology,Counsellor,Senior,51-200,UK,11,8,3,658,10,2,1,1,0,4,6,53,16,12,1
LEAD_80,timothyhunter@example.net,Smith-Palmer,Technology,Licensed conveyancer,Entry,11-50,USA,1,6,18,577,18,3,0,0,1,4,5,24,56,19,0
LEAD_81,christopherlucas@example.net,"Nguyen, Patrick and Rogers",Technology,"Runner, broadcasting/film/video",Entry,11-50,India,11,9,9,497,13,3,2,0,1,4,7,35,38,20,0
LEAD_82,reyesdaniel@example.org,Gallegos-Barry,Education,"Engineer, control and instrumentation",Senior,1000+,India,8,2,28,147,1,3,1,1,0,2,8,30,56,4,0
LEAD_83,mckinneylaura@example.com,Johnson Inc,Technology,Lobbyist,Entry,1-10,Germany,8,6,3,176,9,1,1,0,1,0,8,35,44,16,0
LEAD_84,maria02@example.com,"Flores, Hill and Gutierrez",Technology,Tourism officer,Senior,51-200,Canada,12,7,36,390,1,3,1,0,0,4,2,77,37,29,0
LEAD_85,mlewis@example.net,"Bryant, Jenkins and Bailey",Retail,Warehouse manager,Senior,1000+,UK,1,2,27,431,13,0,1,1,0,2,9,57,44,23,0
LEAD_86,cartersusan@example.com,"Petersen, Newton and Lawson",Education,Physiological scientist,Entry,51-200,UK,16,1,18,726,12,4,0,0,1,1,9,17,44,16,1
LEAD_87,patrickarnold@example.com,Brown and Sons,Technology,"Therapist, horticultural",Mid,51-200,India,5,8,16,404,17,2,1,0,1,0,5,89,55,2,0
LEAD_88,jtran@example.com,"Savage, Moore and Bell",Retail,"Psychotherapist, child",Senior,51-200,Germany,13,5,2,572,1,4,2,1,1,4,9,39,56,11,1
LEAD_89,patrick39@example.org,"Cole, Davis and Kim",Technology,Manufacturing systems engineer,Entry,51-200,India,5,5,23,358,17,1,0,1,0,0,9,20,23,18,0
LEAD_90,gomezrachel@example.org,"Palmer, Graham and Mcintyre",Technology,Administrator,Entry,1000+,India,17,2,11,20,6,0,2,0,1,0,5,12,38,24,0
LEAD_91,xromero@example.com,Harrison-Peterson,Finance,Data scientist,Mid,1000+,Canada,15,5,21,38,14,4,0,0,1,4,8,93,57,25,0
LEAD_92,reynoldssteven@example.net,Anthony Group,Healthcare,Engineering geologist,Mid,11-50,Canada,4,7,33,645,12,4,2,1,1,1,3,22,21,27,1
LEAD_93,gibsonjeffrey@example.net,Hernandez and Sons,Healthcare,"Investment banker, operational",Mid,1000+,USA,5,9,30,148,6,1,1,1,0,4,5,93,21,1,0
LEAD_94,michaelwalsh@example.net,"Logan, Owens and Mcdonald",Technology,"Therapist, drama",Mid,1000+,USA,8,0,4,637,19,1,1,1,0,1,7,37,11,18,0
LEAD_95,omccoy@example.net,Herrera-Roy,Technology,Facilities manager,Mid,51-200,USA,19,6,31,417,7,3,1,0,1,4,0,7,29,5,0
LEAD_96,youngdale@example.org,Walsh and Sons,Education,Outdoor activities/education manager,Mid,1-10,USA,9,0,6,406,4,4,2,1,1,3,5,108,33,8,0
LEAD_97,crystalmerritt@example.com,Hood-Wagner,Technology,"Teacher, special educational needs",Mid,201-1000,UK,5,4,23,54,11,0,2,0,1,4,0,48,44,10,0
LEAD_98,xbarnett@example.com,Hudson-Brown,Finance,"Engineer, water",Mid,11-50,Germany,4,9,0,56,1,2,1,0,1,4,1,43,35,27,1
LEAD_99,scotttapia@example.com,Salazar-Yang,Education,"Scientist, clinical (histocompatibility and immunogenetics)",Senior,1-10,Germany,7,2,2,408,2,0,0,1,1,2,0,65,48,27,0
LEAD_100,omurray@example.com,James Inc,Technology,"Surveyor, building control",Senior,1-10,UK,1,4,7,306,18,4,0,1,0,1,7,113,38,13,0
LEAD_101,crystal79@example.org,Bryant Ltd,Retail,"Doctor, hospital",Mid,11-50,India,4,6,22,383,15,3,0,0,0,3,5,103,28,10,0
LEAD_102,dominique00@example.org,Walter-Young,Retail,Dietitian,Entry,1000+,UK,7,0,21,445,6,2,0,1,0,4,0,99,41,21,0
LEAD_103,mccarthydaniel@example.com,Brown-Bell,Technology,"Psychotherapist, dance movement",Entry,1-10,Germany,18,8,36,186,10,2,0,1,0,2,3,43,9,15,0
LEAD_104,mitchelljoshua@example.net,Jackson Ltd,Technology,Field trials officer,Executive,1000+,UK,16,5,2,768,7,3,1,0,1,3,6,17,45,14,0
LEAD_105,woodsanna@example.com,Jones-Snyder,Education,Visual merchandiser,Mid,1000+,Germany,9,8,34,129,1,3,1,1,1,3,9,83,21,29,0
LEAD_106,alison18@example.com,Dudley-Mckinney,Healthcare,"Loss adjuster, chartered",Entry,11-50,India,4,2,33,294,5,1,0,1,0,4,5,102,10,3,0
LEAD_107,annberg@example.org,"Frazier, Kennedy and Garza",Technology,Meteorologist,Entry,1000+,USA,0,7,39,773,3,0,0,0,0,4,7,9,52,16,0
LEAD_108,nbrown@example.net,"Wright, Johnson and Smith",Healthcare,Risk analyst,Senior,1-10,UK,18,6,3,688,14,3,0,1,0,3,8,11,15,2,1
LEAD_109,brian11@example.net,Wright-Sullivan,Finance,Electrical engineer,Entry,11-50,India,15,7,10,448,1,1,2,0,1,1,4,112,44,4,0
LEAD_110,jeremymeyer@example.com,Boyer-Stewart,Finance,"Horticulturist, commercial",Executive,51-200,Canada,13,1,39,137,9,0,0,0,1,3,7,14,24,11,1
LEAD_111,ashley48@example.com,Fernandez-Watson,Technology,Computer games developer,Mid,51-200,India,18,0,19,636,8,4,2,0,0,3,6,2,49,8,0
LEAD_112,timothymcgee@example.com,"Fritz, Wilkinson and Knight",Education,"Editor, commissioning",Mid,201-1000,USA,2,7,34,61,15,3,0,0,1,1,0,19,48,14,0
LEAD_113,zestes@example.com,Fox-Murphy,Finance,Theatre director,Entry,201-1000,Germany,7,8,19,213,17,3,0,0,0,0,0,65,30,15,1
LEAD_114,uvillanueva@example.net,Gonzalez Inc,Education,Ophthalmologist,Senior,201-1000,India,14,8,20,709,4,2,1,1,1,2,1,16,23,28,0
LEAD_115,wcooper@example.net,Flores Ltd,Healthcare,Sports therapist,Mid,1-10,Germany,13,5,19,97,3,2,2,1,1,1,2,78,25,9,0
LEAD_116,qalvarez@example.net,"Freeman, Duran and Gray",Finance,"Engineer, water",Entry,201-1000,USA,3,4,29,233,3,1,1,1,1,2,6,114,55,11,0
LEAD_117,ehahn@example.com,Baird LLC,Education,Glass blower/designer,Mid,1-10,India,4,8,0,466,17,3,2,0,0,2,4,100,5,19,0
LEAD_118,cassandraclark@example.org,Thomas-Wagner,Education,Medical secretary,Senior,11-50,Canada,19,3,8,52,2,2,1,0,1,1,5,17,7,23,0
LEAD_119,rubiocaitlin@example.net,Glover Group,Technology,"Designer, multimedia",Senior,1000+,Canada,12,9,3,520,5,4,0,1,1,2,1,111,50,2,0
LEAD_120,nhicks@example.net,White-Fernandez,Healthcare,Fashion designer,Executive,1000+,Canada,1,7,11,296,1,0,2,0,0,0,5,99,49,5,1
LEAD_121,uhall@example.org,Hernandez-Hernandez,Retail,Musician,Executive,1-10,India,2,3,30,97,14,4,2,0,0,3,3,34,11,16,1
LEAD_122,kevin59@example.com,Scott-Sweeney,Retail,Tax adviser,Senior,11-50,India,11,4,1,328,6,1,1,1,0,2,0,51,54,26,0
LEAD_123,luis68@example.org,Wilson PLC,Finance,Clinical molecular geneticist,Mid,51-200,UK,2,9,29,624,11,1,0,0,0,1,1,59,12,7,0
LEAD_124,elizabeth03@example.com,Mendez Inc,Healthcare,Chief Marketing Officer,Mid,1-10,India,12,8,38,309,6,1,1,0,0,3,1,84,6,22,1
LEAD_125,marie74@example.net,Garcia-Allen,Technology,Health and safety inspector,Mid,11-50,UK,12,3,0,495,9,0,1,1,0,1,6,8,42,18,1
LEAD_126,angelahogan@example.com,Bowers-Dorsey,Healthcare,Multimedia programmer,Senior,201-1000,USA,6,1,22,783,2,2,1,0,1,3,1,16,15,3,0
LEAD_127,gabrieldiaz@example.net,Myers-Young,Technology,Sales promotion account executive,Mid,51-200,Germany,19,6,8,61,11,0,2,0,1,0,1,54,56,20,0
LEAD_128,courtney49@example.org,"Vincent, Cox and Combs",Finance,Geophysical data processor,Executive,1000+,UK,13,0,19,743,19,2,1,1,1,2,7,91,24,10,0
LEAD_129,jenniferodonnell@example.com,Rhodes LLC,Retail,"Scientist, biomedical",Executive,201-1000,UK,15,9,18,439,13,0,2,0,0,4,5,115,42,29,0
LEAD_130,pwilliams@example.net,"Roth, Carr and Spencer",Education,Colour technologist,Mid,1-10,Germany,14,0,0,683,5,3,1,1,1,0,7,56,28,29,0
LEAD_131,ysmith@example.com,"Conway, Shaffer and Young",Technology,"Designer, multimedia",Senior,201-1000,India,1,8,34,553,7,3,0,1,1,1,1,44,26,5,0
LEAD_132,lwilson@example.org,"Peterson, Jones and Cannon",Education,Financial planner,Entry,1-10,Germany,4,7,7,451,12,4,2,1,0,3,6,56,52,27,0
LEAD_133,onealmichael@example.org,"Myers, Joseph and Pearson",Education,"Psychologist, prison and probation services",Senior,1000+,UK,6,8,39,395,18,2,2,0,0,0,8,4,8,10,0
LEAD_134,cgarcia@example.org,Bennett Group,Education,Chartered public finance accountant,Mid,51-200,India,16,2,26,177,7,4,1,0,1,2,3,2,55,7,1
LEAD_135,frazierdavid@example.com,"Stone, Jones and Dillon",Education,Youth worker,Entry,1-10,Germany,12,2,22,741,12,0,0,1,1,2,0,96,12,29,0
LEAD_136,pinedamonica@example.net,Harris Inc,Retail,"Teacher, special educational needs",Executive,1-10,India,17,2,25,206,14,2,2,1,0,2,8,110,39,7,0
LEAD_137,shelley81@example.net,Ward-Mitchell,Finance,Forensic scientist,Mid,11-50,India,9,2,39,418,4,4,2,0,1,0,0,12,53,20,0
LEAD_138,sarah53@example.org,Massey-Gonzalez,Retail,Firefighter,Executive,11-50,Germany,3,9,0,275,7,1,0,0,1,3,7,66,37,5,0
LEAD_139,rebeccahorn@example.net,Kemp-West,Education,"Production designer, theatre/television/film",Mid,1000+,Canada,4,8,31,687,12,2,1,1,1,4,6,46,49,11,0
LEAD_140,linda82@example.net,"Cunningham, Whitehead and Jackson",Finance,Museum education officer,Senior,1000+,Canada,3,7,29,577,12,4,2,1,1,4,1,7,29,22,0
LEAD_141,lpham@example.org,Parker-Hahn,Technology,Retail banker,Entry,201-1000,UK,10,5,12,411,12,4,2,0,1,4,6,29,39,26,1
LEAD_142,whitecourtney@example.net,Powell Ltd,Technology,"Engineer, site",Senior,11-50,USA,4,2,35,209,8,4,1,1,1,4,0,54,38,5,0
LEAD_143,christopher36@example.org,Huff LLC,Education,Publishing copy,Executive,51-200,UK,14,2,14,365,14,4,2,1,1,1,7,61,24,24,0
LEAD_144,ewilliams@example.net,"Chen, Hamilton and Garrison",Technology,Bonds trader,Mid,51-200,India,3,4,39,523,7,1,0,0,1,3,3,111,41,14,0
LEAD_145,williamsstephanie@example.net,Shelton LLC,Healthcare,Prison officer,Executive,1-10,Canada,19,7,2,93,17,0,0,0,0,4,7,107,33,19,0
LEAD_146,zavalateresa@example.net,Ferguson-Simpson,Retail,"Radiographer, therapeutic",Executive,51-200,India,4,9,20,115,9,4,0,1,0,2,4,104,39,27,0
LEAD_147,gregory63@example.net,French Inc,Retail,Chemical engineer,Entry,1-10,USA,3,3,36,778,6,1,0,1,1,2,7,41,40,4,0
LEAD_148,xbrady@example.net,"Young, Warner and Nguyen",Finance,Media buyer,Senior,11-50,Germany,17,7,18,61,18,0,1,0,1,1,1,82,59,27,0
LEAD_149,smithandrew@example.net,"Gomez, Roman and Allen",Retail,"Designer, fashion/clothing",Mid,11-50,USA,12,2,22,718,17,4,2,0,0,4,0,27,41,26,0
LEAD_150,danielmcconnell@example.net,"Wood, Jackson and Hernandez",Healthcare,"Designer, industrial/product",Mid,51-200,Germany,6,4,26,608,16,2,0,0,0,1,9,83,44,13,1
LEAD_151,pbrooks@example.org,Thompson-Bond,Finance,Consulting civil engineer,Entry,51-200,USA,5,5,21,636,15,3,2,0,1,0,3,44,16,9,0
LEAD_152,allisonburns@example.net,"Alexander, Martin and Mclaughlin",Finance,Community development worker,Executive,1000+,India,1,8,27,558,14,2,0,1,0,2,2,15,35,12,1
LEAD_153,jessicakeller@example.org,Gonzales and Sons,Finance,Structural engineer,Entry,1-10,Germany,1,7,20,697,4,4,2,0,0,4,9,116,13,4,0
LEAD_154,sullivanadam@example.net,"Hill, Adkins and Hawkins",Education,Adult nurse,Executive,51-200,UK,8,2,32,323,14,0,0,1,0,4,3,53,23,16,0
LEAD_155,thomashartman@example.org,"Nguyen, Santana and Dominguez",Education,Rural practice surveyor,Entry,1000+,UK,19,0,11,698,4,1,0,0,1,1,6,36,59,18,0
LEAD_156,sandra96@example.org,Williams LLC,Retail,Higher education lecturer,Senior,1000+,Germany,3,9,14,143,1,1,0,0,1,0,5,82,50,6,0
LEAD_157,robertsonrebecca@example.com,Liu-Bryant,Finance,Print production planner,Senior,1-10,Germany,2,5,34,398,13,4,2,0,1,1,1,82,57,5,0
LEAD_158,milescheryl@example.net,Henson-Jordan,Healthcare,"Engineer, site",Executive,51-200,India,9,4,11,91,12,3,1,0,0,4,5,44,21,4,0
LEAD_159,alexanderrichardson@example.org,"King, Moore and Walker",Technology,Theatre stage manager,Executive,51-200,India,7,4,10,78,16,1,2,0,0,2,3,19,57,12,0
LEAD_160,nielsensummer@example.net,Howard-Yates,Finance,Architectural technologist,Senior,1000+,Canada,9,7,25,278,17,1,2,0,0,4,9,3,24,23,0
LEAD_161,hartandrew@example.net,King-Chambers,Retail,"Lighting technician, broadcasting/film/video",Executive,201-1000,UK,16,5,35,372,19,3,0,1,1,3,9,115,29,26,0
LEAD_162,tara18@example.org,Martin-Robinson,Healthcare,Clothing/textile technologist,Executive,1000+,Germany,19,5,18,634,1,3,2,0,1,1,5,67,43,22,0
LEAD_163,timothyhutchinson@example.com,"Allison, Thompson and Mcdonald",Technology,Fast food restaurant manager,Senior,51-200,Germany,18,7,17,124,10,3,2,1,0,1,8,59,50,20,1
LEAD_164,joneswesley@example.net,Gibson-Tucker,Finance,Investment analyst,Mid,201-1000,USA,12,3,29,122,16,3,2,0,0,0,7,53,17,1,0
LEAD_165,galvancarla@example.com,Salazar-Herman,Retail,Warden/ranger,Executive,11-50,USA,11,1,4,385,4,0,2,0,1,2,2,8,50,19,0
LEAD_166,richardbernard@example.org,Phillips-Taylor,Technology,Trading standards officer,Entry,11-50,Germany,9,9,20,422,2,4,0,0,1,0,2,79,30,12,1
LEAD_167,tiffanymoore@example.com,"Evans, Reed and Gregory",Technology,Writer,Executive,11-50,Germany,9,4,25,168,12,1,0,1,0,0,0,64,8,29,0
LEAD_168,fblack@example.org,"Martinez, Thompson and Graves",Retail,Gaffer,Mid,1000+,Canada,9,6,16,586,1,3,0,0,1,4,5,52,43,15,0
